text{ key = "copyright_menu.made_by_fans.line1", value = "This game was created by fans," }
text{ key = "options.commands_column", value = "Controls" }
text{ key = "options.keyboard_column", value = "Keyboard" }
text{ key = "options.joypad_column", value = "Joypad" }
text{ key = "options.video.fullscreen", value = "Fullscreen" }
text{ key = "options.video.windowed", value = "Windowed" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Big$Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Huge$Bomb Bag" }
text{ key = "quest_status.caption.library_award", value = "Bookworm Award" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Pieces of Heart" }
text{ key = "quest_status.caption.quiver_1", value = "Quiver" }
text{ key = "quest_status.caption.quiver_2", value = "Bigger Quiver" }
text{ key = "quest_status.caption.quiver_3", value = "Biggest Quiver" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Rupee Bag" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Big$Rupee Bag" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Huge$Rupee Bag" }
text{ key = "quest_status.caption.shield_1", value = "Shield" }
text{ key = "quest_status.caption.shield_2", value = "Bling-bling Shield" }
text{ key = "quest_status.caption.shield_3", value = "Mirror Shield" }
text{ key = "quest_status.caption.sword_1", value = "Training Sword" }
text{ key = "quest_status.caption.sword_2", value = "Laser Sword" }
text{ key = "quest_status.caption.sword_3", value = "Laser Sword" }
text{ key = "quest_status.caption.sword_4", value = "Laser Sword" }
text{ key = "quest_status.caption.tunic_1", value = "Green$Mail" }
text{ key = "quest_status.caption.tunic_2", value = "Blue$Mail" }
text{ key = "quest_status.caption.tunic_3", value = "Red$Mail" }
text{ key = "quest_status.caption.world_map", value = "World Map" }
text{ key = "save_dialog.continue_question_0", value = "Would you like to keep" }
text{ key = "save_dialog.continue_question_1", value = "playing?" }
text{ key = "save_dialog.no", value = "No" }
text{ key = "save_dialog.save_question_0", value = "Would you like to" }
text{ key = "save_dialog.save_question_1", value = "save your game?" }
text{ key = "save_dialog.yes", value = "Yes" }
text{ key = "selection_menu.back", value = "Back" }
text{ key = "selection_menu.big_no", value = "NOO!!" }
text{ key = "selection_menu.big_yes", value = "YEAH!!" }
text{ key = "selection_menu.cancel", value = "Cancel" }
text{ key = "selection_menu.empty", value = "Empty" }
text{ key = "selection_menu.erase", value = "Erase" }
text{ key = "selection_menu.options", value = "Options" }
text{ key = "selection_menu.options.language", value = "Language" }
text{ key = "selection_menu.options.music_volume", value = "Music volume" }
text{ key = "selection_menu.options.sound_volume", value = "Sound volume" }
text{ key = "selection_menu.options.video_mode", value = "Video mode" }
text{ key = "selection_menu.phase.choose_mode", value = "Choose a game mode" }
text{ key = "selection_menu.phase.choose_name", value = "What's your name?" }
text{ key = "selection_menu.phase.confirm_erase", value = "Are you sure?" }
text{ key = "selection_menu.phase.erase_file", value = "Select File to Erase" }
text{ key = "selection_menu.phase.options", value = "Hit Space to change" }
text{ key = "selection_menu.phase.options.changing", value = "<  >: choose, Space: validate" }
text{ key = "selection_menu.phase.select_file", value = "Select a file" }
text{ key = "stats_menu.death_count", value = "Game-over:" }
text{ key = "stats_menu.game_time", value = "Game time:" }
text{ key = "stats_menu.hearts", value = "Hearts:" }
text{ key = "stats_menu.percent", value = "You completed the game with: $v%" }
text{ key = "stats_menu.pieces_of_heart", value = "Pieces of heart:" }
text{ key = "stats_menu.quest_version", value = "Zelda XD2 " }
text{ key = "stats_menu.solarus_version", value = "Solarus " }
text{ key = "stats_menu.title", value = "Statistics" }
text{ key = "stats_menu.treasures", value = "Treasures:" }
text{ key = "title_screen.copyright", value = "© 2017 Christopho, Solarus Team" }
text{ key = "title_screen.press_space", value = "Press the space bar" }
